server_0,server_1,server_2
0,0,0
1127,1126,1126
2834,2834,2833
28497,28497,28496
74140,76767,76766
74140,152366,152366
74140,229247,229247
74140,305230,305229
74140,380089,380088
98917,438260,438260
142667,484249,484249
142667,555614,555613
142671,627353,627352
142671,699249,699248
142671,771440,771439
167462,829306,829306
214064,873392,875907
285964,873392,947807
357904,873392,1019748
429543,873394,1091387
501966,873394,1163809
574156,873394,1236000
644359,873394,1306202
712316,873394,1374159
782365,873396,1444209
854089,873396,1515933
923838,873396,1585681
982336,897898,1644180
1029719,942786,1691563
1101548,942786,1763392
1173664,942786,1835508
1243822,942786,1905666
1315563,942786,1977407
1373192,967192,2035036
1416053,1012533,2080376
1416053,1082963,2150806
1451752,1150599,2182744
1507512,1206359,2184156
1529981,1228828,2206625
1533154,1232001,2209799
1533318,1232174,2209971
